timestamp,date,hour,day_of_week,station_id,station_name,line,zone,co2_ppm,pm25_ug_m3,noise_db,humidity_pct,temperature_c,weather,passenger_count,is_holiday,special_event,pollution_index
2025-01-01T00:00:00,2025-01-01,0,2,1,Central Gare,L1,centre,500.9,8.2,45.2,57.2,6.3,cloudy,11,1,,9.4
2025-01-01T00:00:00,2025-01-01,0,2,2,Université,L1,centre,441.7,11.7,50.9,60.5,7.1,cloudy,11,1,,10.2
2025-01-01T00:00:00,2025-01-01,0,2,3,Hôpital Nord,L2,nord,421.1,4.8,47.6,49.6,8.7,cloudy,6,1,,7.8
2025-01-01T00:00:00,2025-01-01,0,2,4,Zone Industrielle,L2,est,398.9,19.7,57.0,52.7,6.1,cloudy,9,1,,12.1
2025-01-01T00:00:00,2025-01-01,0,2,5,Parc Sud,L3,sud,470.3,5.1,47.0,67.7,6.8,cloudy,4,1,,8.8
2025-01-01T00:00:00,2025-01-01,0,2,6,Stade Ouest,L3,ouest,420.9,3.5,48.6,62.7,3.5,cloudy,5,1,,7.9
2025-01-01T00:15:00,2025-01-01,0,2,1,Central Gare,L1,centre,424.7,13.5,53.3,54.3,4.0,cloudy,11,1,,10.8
2025-01-01T00:15:00,2025-01-01,0,2,2,Université,L1,centre,454.1,9.7,48.6,60.2,6.7,cloudy,10,1,,9.6
2025-01-01T00:15:00,2025-01-01,0,2,3,Hôpital Nord,L2,nord,520.9,8.3,47.1,53.0,7.0,cloudy,5,1,,10.5
2025-01-01T00:15:00,2025-01-01,0,2,4,Zone Industrielle,L2,est,465.4,19.8,50.4,59.0,8.8,cloudy,8,1,,11.7
2025-01-01T00:15:00,2025-01-01,0,2,5,Parc Sud,L3,sud,366.8,12.4,51.0,62.6,4.9,cloudy,3,1,,8.5
2025-01-01T00:15:00,2025-01-01,0,2,6,Stade Ouest,L3,ouest,520.4,15.5,48.6,59.6,7.4,cloudy,5,1,,11.9
2025-01-01T00:30:00,2025-01-01,0,2,1,Central Gare,L1,centre,437.0,12.6,54.3,48.9,8.7,cloudy,6,1,,11.3
2025-01-01T00:30:00,2025-01-01,0,2,2,Université,L1,centre,409.3,16.0,60.9,61.5,8.6,cloudy,9,1,,13.1
2025-01-01T00:30:00,2025-01-01,0,2,3,Hôpital Nord,L2,nord,433.1,6.2,46.6,58.7,5.9,cloudy,5,1,,7.9
2025-01-01T00:30:00,2025-01-01,0,2,4,Zone Industrielle,L2,est,519.3,2,49.0,35.4,6.3,cloudy,6,1,,10.2
2025-01-01T00:30:00,2025-01-01,0,2,5,Parc Sud,L3,sud,366.5,8.5,49.8,52.8,5.8,cloudy,4,1,,7.6
2025-01-01T00:30:00,2025-01-01,0,2,6,Stade Ouest,L3,ouest,445.0,22.2,48.6,46.9,5.2,cloudy,5,1,,11.0
2025-01-01T00:45:00,2025-01-01,0,2,1,Central Gare,L1,centre,389.8,11.6,54.7,58.8,9.0,sunny,8,1,,10.1
2025-01-01T00:45:00,2025-01-01,0,2,2,Université,L1,centre,382.3,15.1,47.0,45.8,8.3,sunny,8,1,,8.0
2025-01-01T00:45:00,2025-01-01,0,2,3,Hôpital Nord,L2,nord,441.7,21.3,46.7,63.3,9.0,sunny,7,1,,10.2
2025-01-01T00:45:00,2025-01-01,0,2,4,Zone Industrielle,L2,est,363.3,19.3,52.3,59.0,9.6,sunny,7,1,,9.8
2025-01-01T00:45:00,2025-01-01,0,2,5,Parc Sud,L3,sud,408.1,6.9,51.1,45.4,10.4,sunny,6,1,,8.8
2025-01-01T00:45:00,2025-01-01,0,2,6,Stade Ouest,L3,ouest,440.3,5.0,49.2,40.1,13.0,sunny,5,1,,8.8
2025-01-01T01:00:00,2025-01-01,1,2,1,Central Gare,L1,centre,395.8,11.0,50.4,39.9,15.0,sunny,7,1,,8.9
2025-01-01T01:00:00,2025-01-01,1,2,2,Université,L1,centre,418.3,14.4,51.9,40.1,10.8,sunny,9,1,,10.3
2025-01-01T01:00:00,2025-01-01,1,2,3,Hôpital Nord,L2,nord,383.1,17.3,51.4,58.1,7.9,sunny,5,1,,9.7
2025-01-01T01:00:00,2025-01-01,1,2,4,Zone Industrielle,L2,est,498.2,8.1,49.0,57.6,7.8,sunny,6,1,,10.5
2025-01-01T01:00:00,2025-01-01,1,2,5,Parc Sud,L3,sud,444.3,8.4,51.7,46.3,5.5,sunny,5,1,,10.1
